employee_id,month,monthly_income,work_hours,performance_rating,overtime
1,2019-07-01,7493,158,4,No
1,2019-08-01,7795,175,3,Yes
1,2019-09-01,6031,157,3,No
1,2019-10-01,9658,167,4,Yes
1,2019-11-01,5561,165,4,No
1,2019-12-01,5573,155,3,No
1,2020-01-01,6983,140,4,No
1,2020-02-01,3050,154,3,Yes
1,2020-03-01,4474,163,2,No
1,2020-04-01,4683,145,2,No
1,2020-05-01,9431,157,1,No
1,2020-06-01,6635,145,4,No
1,2020-07-01,5411,161,4,Yes
1,2020-08-01,4198,163,4,Yes
1,2020-09-01,5298,157,2,No
1,2020-10-01,5296,178,1,No
1,2020-11-01,6473,149,1,No
1,2020-12-01,8145,147,1,Yes
1,2021-01-01,6917,140,4,Yes
1,2021-02-01,3843,161,1,No
1,2021-03-01,7976,161,3,No
1,2021-04-01,6268,156,4,Yes
1,2021-05-01,3542,152,3,No
1,2021-06-01,5578,170,3,No
1,2021-07-01,7187,142,1,Yes
1,2021-08-01,7148,156,2,No
1,2021-09-01,5146,166,2,Yes
1,2021-10-01,8561,169,4,Yes
1,2021-11-01,4821,156,1,No
1,2021-12-01,7162,169,2,No
1,2022-01-01,5541,158,1,Yes
1,2022-02-01,4287,148,3,Yes
1,2022-03-01,8125,173,3,No
1,2022-04-01,6355,170,3,No
1,2022-05-01,7223,153,2,Yes
1,2022-06-01,7222,175,4,Yes
1,2022-07-01,6428,175,2,Yes
1,2022-08-01,1260,168,1,No
1,2022-09-01,6674,157,2,No
1,2022-10-01,6683,140,2,Yes
1,2022-11-01,6060,163,4,No
1,2022-12-01,9455,154,4,No
1,2023-01-01,4883,154,1,No
1,2023-02-01,8330,163,3,Yes
1,2023-03-01,5440,165,1,No
1,2023-04-01,6694,169,3,No
1,2023-05-01,5095,156,4,No
1,2023-06-01,5715,145,4,No
1,2023-07-01,7092,162,2,No
2,2015-07-01,6510,157,4,Yes
2,2015-08-01,3669,155,2,No
2,2015-09-01,5814,151,3,No
2,2015-10-01,6177,164,3,Yes
2,2015-11-01,10272,161,4,No
2,2015-12-01,7015,159,1,Yes
2,2016-01-01,2662,159,4,No
2,2016-02-01,6620,184,2,No
2,2016-03-01,6115,163,2,Yes
2,2016-04-01,6430,148,3,Yes
2,2016-05-01,8785,167,1,Yes
2,2016-06-01,8082,150,3,No
2,2016-07-01,9305,145,1,No
2,2016-08-01,7673,181,2,Yes
2,2016-09-01,4518,154,3,No
2,2016-10-01,6699,154,4,Yes
2,2016-11-01,3398,160,2,Yes
2,2016-12-01,4375,164,3,No
2,2017-01-01,4661,175,2,No
2,2017-02-01,4933,156,4,No
2,2017-03-01,8127,147,3,Yes
2,2017-04-01,6954,173,4,Yes
2,2017-05-01,3285,161,2,Yes
2,2017-06-01,7019,167,4,No
2,2017-07-01,4026,146,1,No
2,2017-08-01,7543,162,1,No
2,2017-09-01,7000,163,1,No
2,2017-10-01,5139,162,3,No
2,2017-11-01,7086,152,4,No
2,2017-12-01,10231,164,1,Yes
2,2018-01-01,4117,166,4,Yes
2,2018-02-01,4550,167,3,Yes
2,2018-03-01,8817,151,1,No
2,2018-04-01,8426,164,3,No
2,2018-05-01,8144,178,1,Yes
2,2018-06-01,6009,152,1,Yes
2,2018-07-01,4720,151,3,No
2,2018-08-01,6345,163,1,Yes
2,2018-09-01,7053,168,2,Yes
2,2018-10-01,6526,174,4,No
2,2018-11-01,5970,187,3,No
2,2018-12-01,7751,151,2,No
2,2019-01-01,4358,164,1,No
2,2019-02-01,6053,167,4,No
2,2019-03-01,7446,159,1,No
2,2019-04-01,4806,144,2,No
2,2019-05-01,5606,168,4,Yes
2,2019-06-01,6928,147,3,Yes
2,2019-07-01,6846,163,3,No
2,2019-08-01,4732,161,1,No
2,2019-09-01,6616,148,3,Yes
2,2019-10-01,7215,165,1,No
2,2019-11-01,8666,170,1,Yes
2,2019-12-01,3744,150,1,Yes
2,2020-01-01,7530,165,3,Yes
2,2020-02-01,7530,198,2,Yes
2,2020-03-01,7641,171,1,Yes
2,2020-04-01,8408,166,2,Yes
2,2020-05-01,5869,167,3,Yes
2,2020-06-01,4954,157,1,No
2,2020-07-01,5529,160,2,Yes
2,2020-08-01,11129,141,3,Yes
2,2020-09-01,7872,143,1,Yes
2,2020-10-01,5556,170,2,Yes
2,2020-11-01,6628,149,3,Yes
2,2020-12-01,5069,166,3,Yes
2,2021-01-01,5039,162,2,No
2,2021-02-01,6591,153,1,Yes
2,2021-03-01,10787,166,4,Yes
2,2021-04-01,2449,161,1,No
2,2021-05-01,5176,168,4,No
2,2021-06-01,4914,158,1,No
2,2021-07-01,7509,168,2,Yes
2,2021-08-01,4099,156,3,No
2,2021-09-01,5550,153,1,Yes
2,2021-10-01,10030,164,4,No
2,2021-11-01,3978,169,4,Yes
2,2021-12-01,10744,170,4,No
2,2022-01-01,3461,155,1,Yes
2,2022-02-01,9033,152,3,Yes
2,2022-03-01,7387,167,1,Yes
2,2022-04-01,4646,159,3,No
2,2022-05-01,17,149,4,No
2,2022-06-01,5994,147,4,No
2,2022-07-01,9764,145,1,Yes
2,2022-08-01,5619,161,2,No
2,2022-09-01,9382,145,4,Yes
2,2022-10-01,8826,160,4,No
2,2022-11-01,4536,164,4,No
2,2022-12-01,6898,153,4,Yes
2,2023-01-01,6639,156,3,No
2,2023-02-01,6727,166,3,No
2,2023-03-01,9672,147,3,Yes
2,2023-04-01,10766,140,4,Yes
2,2023-05-01,6196,165,1,Yes
2,2023-06-01,7061,153,1,No
2,2023-07-01,6083,155,1,No
2,2023-08-01,5321,168,2,Yes
2,2023-09-01,7214,153,3,Yes
2,2023-10-01,8299,163,4,No
2,2023-11-01,8125,166,4,Yes
2,2023-12-01,4842,154,3,No
2,2024-01-01,7994,166,3,Yes
2,2024-02-01,6458,161,2,Yes
2,2024-03-01,9055,154,4,Yes
2,2024-04-01,7594,157,1,No
2,2024-05-01,6064,170,3,Yes
2,2024-06-01,8150,168,3,Yes
2,2024-07-01,9110,160,4,Yes
2,2024-08-01,7863,156,3,Yes
2,2024-09-01,7148,158,2,No
2,2024-10-01,6693,165,3,No
2,2024-11-01,4863,180,3,Yes
2,2024-12-01,4487,147,2,Yes
2,2025-01-01,8816,167,4,Yes
2,2025-02-01,7748,166,2,Yes
2,2025-03-01,6475,151,1,Yes
2,2025-04-01,6651,153,4,No
2,2025-05-01,8450,158,4,No
2,2025-06-01,4849,156,2,No
5,2017-07-01,7325,154,3,No
5,2017-08-01,4855,162,1,Yes
5,2017-09-01,6989,154,2,Yes
5,2017-10-01,5557,162,1,Yes
5,2017-11-01,3603,145,3,No
5,2017-12-01,5063,157,4,No
5,2018-01-01,7121,174,4,No
5,2018-02-01,8215,158,3,Yes
5,2018-03-01,6461,149,1,No
5,2018-04-01,6462,157,4,Yes
5,2018-05-01,7145,151,3,No
5,2018-06-01,7538,175,3,Yes
5,2018-07-01,6282,164,2,No
5,2018-08-01,7880,155,1,Yes
5,2018-09-01,6948,160,2,No
5,2018-10-01,6695,152,2,Yes
5,2018-11-01,6549,164,3,No
5,2018-12-01,9402,169,3,Yes
5,2019-01-01,10806,152,1,No
5,2019-02-01,8244,161,4,Yes
5,2019-03-01,10879,151,2,No
5,2019-04-01,4820,154,2,No
5,2019-05-01,2252,154,1,No
5,2019-06-01,4981,161,1,No
5,2019-07-01,7183,178,1,No
5,2019-08-01,8400,154,1,No
5,2019-09-01,4703,164,4,No
5,2019-10-01,3859,178,4,No
5,2019-11-01,8858,155,1,No
5,2019-12-01,3073,173,1,No
5,2020-01-01,6270,172,2,No
5,2020-02-01,3311,154,3,Yes
5,2020-03-01,6510,160,4,Yes
5,2020-04-01,5599,166,2,No
5,2020-05-01,4364,158,4,Yes
5,2020-06-01,6740,165,4,No
5,2020-07-01,7923,148,3,Yes
5,2020-08-01,3431,172,3,Yes
5,2020-09-01,7164,152,1,Yes
5,2020-10-01,9602,161,2,No
5,2020-11-01,8858,160,3,Yes
5,2020-12-01,10621,177,2,Yes
5,2021-01-01,6002,169,2,No
5,2021-02-01,7790,173,2,Yes
5,2021-03-01,4570,166,2,Yes
5,2021-04-01,8616,142,2,No
5,2021-05-01,4133,139,4,No
5,2021-06-01,5961,167,3,No
5,2021-07-01,9504,160,2,No
5,2021-08-01,9757,146,1,No
5,2021-09-01,3093,159,4,No
5,2021-10-01,7268,159,3,Yes
5,2021-11-01,2365,159,3,Yes
5,2021-12-01,3891,166,3,No
5,2022-01-01,7233,150,4,Yes
5,2022-02-01,5472,149,1,No
5,2022-03-01,6374,169,3,Yes
5,2022-04-01,4528,165,1,No
5,2022-05-01,5439,152,4,Yes
5,2022-06-01,6285,149,4,Yes
5,2022-07-01,5392,148,3,No
5,2022-08-01,10429,160,2,Yes
5,2022-09-01,5100,162,4,Yes
5,2022-10-01,6275,157,3,Yes
5,2022-11-01,7728,167,2,Yes
5,2022-12-01,5438,154,2,No
5,2023-01-01,5949,136,4,Yes
5,2023-02-01,3469,173,3,No
5,2023-03-01,9789,157,3,No
5,2023-04-01,7653,163,4,No
5,2023-05-01,12657,171,1,No
5,2023-06-01,6244,150,1,No
5,2023-07-01,3287,162,1,No
5,2023-08-01,4987,145,3,No
5,2023-09-01,5206,149,2,No
5,2023-10-01,9874,168,1,Yes
5,2023-11-01,6484,174,3,No
5,2023-12-01,6654,151,4,Yes
5,2024-01-01,9546,165,1,No
5,2024-02-01,4425,158,4,No
5,2024-03-01,4748,146,2,Yes
5,2024-04-01,8352,179,4,No
5,2024-05-01,3702,165,1,No
5,2024-06-01,5198,155,3,Yes
5,2024-07-01,5315,151,2,No
5,2024-08-01,6597,151,4,Yes
5,2024-09-01,7040,159,2,Yes
5,2024-10-01,6022,150,2,Yes
5,2024-11-01,5346,167,3,Yes
5,2024-12-01,7501,150,1,No
5,2025-01-01,6698,167,2,No
5,2025-02-01,3161,165,2,Yes
5,2025-03-01,5174,165,2,Yes
5,2025-04-01,4973,141,4,Yes
5,2025-05-01,3244,160,4,No
5,2025-06-01,7019,150,2,No
7,2023-07-01,7777,143,3,No
7,2023-08-01,6367,147,2,Yes
7,2023-09-01,5196,160,3,No
7,2023-10-01,4779,156,2,No
7,2023-11-01,8512,154,4,No
7,2023-12-01,8171,148,3,No
7,2024-01-01,7559,174,4,Yes
7,2024-02-01,1556,152,2,Yes
7,2024-03-01,7654,157,3,Yes
7,2024-04-01,7242,153,4,No
7,2024-05-01,6673,158,1,Yes
7,2024-06-01,8835,162,3,Yes
7,2024-07-01,7175,155,2,No
7,2024-08-01,5524,155,4,Yes
7,2024-09-01,7288,155,4,Yes
7,2024-10-01,7079,180,2,No
7,2024-11-01,8242,156,3,Yes
7,2024-12-01,8902,155,4,Yes
7,2025-01-01,2423,149,4,No
7,2025-02-01,2758,156,2,No
7,2025-03-01,6536,176,1,No
7,2025-04-01,7153,157,2,Yes
7,2025-05-01,8158,137,3,Yes
7,2025-06-01,6971,167,3,Yes
8,2018-07-01,3542,171,2,Yes
8,2018-08-01,7176,155,3,No
8,2018-09-01,7765,182,2,No
8,2018-10-01,6863,162,4,Yes
8,2018-11-01,5581,151,1,Yes
8,2018-12-01,8160,151,3,Yes
8,2019-01-01,6643,155,2,No
8,2019-02-01,7457,163,1,No
8,2019-03-01,8575,154,2,No
8,2019-04-01,5960,150,1,Yes
8,2019-05-01,5611,163,2,No
8,2019-06-01,8013,150,4,Yes
8,2019-07-01,8239,173,1,No
8,2019-08-01,7326,178,1,Yes
8,2019-09-01,4952,147,2,No
8,2019-10-01,2942,174,4,Yes
8,2019-11-01,7808,159,3,Yes
8,2019-12-01,7059,148,4,Yes
8,2020-01-01,11391,161,1,No
8,2020-02-01,6718,167,1,Yes
8,2020-03-01,7462,162,4,No
8,2020-04-01,4919,164,1,No
8,2020-05-01,10264,173,3,No
8,2020-06-01,9686,154,1,No
8,2020-07-01,4520,158,1,No
8,2020-08-01,6611,170,2,Yes
8,2020-09-01,3115,175,3,Yes
8,2020-10-01,6183,155,1,No
8,2020-11-01,4475,143,3,Yes
8,2020-12-01,8146,160,4,No
8,2021-01-01,3920,147,2,Yes
8,2021-02-01,5828,176,1,No
8,2021-03-01,5980,144,1,No
8,2021-04-01,6008,157,2,Yes
8,2021-05-01,1106,159,2,Yes
8,2021-06-01,6038,166,3,No
8,2021-07-01,10197,171,4,No
8,2021-08-01,5962,148,3,Yes
8,2021-09-01,11646,160,2,No
8,2021-10-01,6527,159,3,Yes
8,2021-11-01,6896,158,3,No
8,2021-12-01,5352,154,1,No
8,2022-01-01,6434,154,4,No
8,2022-02-01,5074,161,4,No
8,2022-03-01,5990,175,3,Yes
8,2022-04-01,1198,170,4,No
8,2022-05-01,8992,139,3,No
8,2022-06-01,5814,156,1,No
8,2022-07-01,3684,152,1,No
8,2022-08-01,4278,177,2,No
8,2022-09-01,8371,172,3,Yes
8,2022-10-01,7943,148,1,No
8,2022-11-01,5450,164,3,No
8,2022-12-01,4055,167,4,No
8,2023-01-01,6019,156,2,No
8,2023-02-01,7921,164,3,No
8,2023-03-01,5778,171,1,No
8,2023-04-01,4337,166,4,No
8,2023-05-01,7686,156,1,Yes
8,2023-06-01,7152,147,4,No
8,2023-07-01,8348,158,2,Yes
8,2023-08-01,5454,170,2,No
8,2023-09-01,5091,145,1,Yes
8,2023-10-01,3386,166,1,Yes
8,2023-11-01,3939,177,3,No
8,2023-12-01,2336,176,4,Yes
8,2024-01-01,6922,159,2,No
8,2024-02-01,5410,163,3,No
8,2024-03-01,6424,171,4,Yes
8,2024-04-01,6728,161,2,No
8,2024-05-01,5772,159,4,No
8,2024-06-01,7115,142,3,Yes
